Target -4,,Target 0,,Target 4,,Target 8,,Target 12,
X,Y,X,Y,X,Y,X,Y,X,Y
-198.26464208242942,0.9490667872412288,-199.2737761067188,0.48806366047745087,-198.65448533491985,0.38922672951836645,-190.9189189189189,0.07952754811366702,-151.98771502857812,0.10338003026892739
-197.39696312364418,0.02007795374286303,-202.15578046177308,0.01061007957559923,-199.82837823149487,-0.4105879189716468,-124.75675675675674,0.03855207392482285,-130.36926983141427,2.073998104034192
-197.83080260303677,-0.4441875239670594,-123.85064624770021,-0.06366047745357406,-124.73126891414904,0.48281780060982626,-114.59459459459458,0.9711498645174714,-92.85132190949258,1.1150163818098155
-144.9023861171366,0.006227141867803709,-114.9946062567422,0,-110.60336493080777,0.4595344473492986,-109.1891891891892,1.0414618217188902,-82.96236341562127,2.5878824501200217
-102.38611713665938,0.23775319226872682,-107.00328202839086,0.05305039787798904,-93.74781897335856,-0.46944274411766784,-109.18918918918916,0.558171333287012,-84.5279211455626,2.106473448163077
-74.6203904555314,2.024622393672125,-97.42960235092812,0.5517241379310391,-88.95385090644893,-0.3649365285492827,-108.10810810810807,0.06426457305634692,-73.93490517399098,2.0918711852003793
-73.96963123644247,1.771152536358386,-93.61306401815276,0.13793103448276156,-81.99516026612815,-0.3449826375977558,-104.86486486486484,-0.12182588758424373,-73.29293780456035,2.0300693524334315
-65.72668112798263,1.5262335521609032,-64.69000998629389,1.5490716180371322,-86.1552719346922,-0.6180099883869268,-94.48648648648646,0.060062530396720604,-55.23913007323313,3.0277908672103244
-70.28199566160518,1.1263800731460236,-67.66129009182242,0.5198938992042414,-74.61885665577822,-0.4829894223783384,-76.54054054054049,0.5686653234211061,-52.48499027070184,2.5035840406246703
-69.63123644251624,0.4824088965710729,-54.9543749409836,0.381962864721487,-74.34426182617003,0.043283010016988754,-74.81081081081078,1.0514222191343023,-43.4586407810049,1.9973168203212035
-40.997830802603005,1.0236665731832275,-56.94762775445736,0.06366047745358117,-77.27784992248417,-0.9457274760730705,-75.2432432432432,2.018136594177726,-37.180887334172354,2.0665362035225034
-32.97180043383946,1.0426570664896175,-45.52319309600864,0,-69.4553297140209,-0.9785415582112478,-72.64864864864865,1.8733773362050972,-54.097115581845344,1.5914249125471907
-24.728850325379625,1.4837539134267104,-36.60019629219494,0.47745358090185874,-65.10872239034799,-0.989754180420249,-55.351351351351326,2.0017175015632613,-43.66930364834829,4.048685297394987
-25.162689804772214,1.9799105993051782,-43.43208032528423,0.9230769230769269,-53.96017230825558,-0.4230934251700482,-48.216216216216196,1.9892336552490786,-37.18310483803916,4.04602429275486
-46.420824295010846,2.0066277851865095,-37.81743681308461,0.9549071618037175,-55.87547124477268,-0.04384364112744166,-44.10810810810807,2.4918224136733134,-32.37223019907651,4.546614703159388
-40.347071583514065,1.9628088530726586,-32.40137461764516,1.092838196286472,-56.67294039575978,0.6194401697911296,-32.86486486486484,1.5114903077885078,-23.35585947678004,3.948043884401523
-35.57483731019522,1.9615496883567332,-26.284841149253594,1.5596816976127386,-46.73489585419014,0.04944995223194226,-32.86486486486487,1.0487653720558612,-23.45786465465156,3.0044959890898806
-13.015184381778738,1.9555972733360534,-41.96418096652448,1.9946949602122075,-36.89753608347684,0.5531598427944537,-46.054054054054035,0.03483915792399195,-13.293935681300411,3.020838992587993
-8.026030368763543,1.4687927472112392,-33.76740805599192,1.9840848806366083,-24.671201295172295,3.0354398951963013,-54.27027027027023,-0.41506843604530097,-22.700587084148793,2.009313516240444
-35.57483731019522,3.502446785982066,-18.00394301231259,2.068965517241381,-24.879435707625163,3.119683300629852,-107.8918918918919,-1.827832974362538,-8.893299257690614,1.726725910978307
-30.15184381778738,4.04982858189436,-1.6052466671817456,2.07957559681698,-35.53829167691629,1.0582083831513138,-18.162162162162133,3.0082401167234067,-11.940149570635896,1.5433605162348982
-24.94577006507592,3.467980013621883,5.509343909076051,2.0477453580901894,-25.314210854504807,1.119751949337246,-14.70270270270268,3.007172931286041,7.278956442680226,1.3200911394089232
-3.6876355748373157,3.008545149640284,1.343714500728197,2.9708222811671092,-64.23573966121864,3.041686927569888,-6.054054054054006,3.0250705203918553,4.8807260107659545,1.136459644201504
6.507592190889341,3.4596809734488048,-0.18770798817672585,1.5066312997347495,-12.380794379959127,4.1071835151570575,5.1891891891892215,2.497180573890084,8.102759129186154,0.9402659895888181
0.21691973969632272,3.9362748184227314,7.914638647815707,0.9124668435013277,6.972420381801157,4.156759323352574,12.324324324324323,1.9808406864447967,-65.06710721076823,0.11900234501033946
6.290672451193075,2.4043292372323606,16.03587053871621,0.43501326259947604,10.219504241918003,4.02993083642729,13.189189189189165,1.5281317307024214,-43.444227005870914,0.13064424031089406
10.629067245119302,2.4031845420360725,6.66420586072411,-0.14854111405835368,6.498744300727026,3.7989393774706315,-0.43243243243244933,1.5014854443132073,14.067844530803882,0.11730595455225679
16.702819956615997,2.4332442378905625,18.34216075930169,0.02122015915119846,5.761914841278497,3.020108350543179,0.2162162162162531,1.2339331619537273,11.631916533154424,-0.4150280237051165
18.221258134490313,1.9473554679227902,12.50661699272348,-0.04244031830238981,5.233319794282693,2.1570339181821794,0.8648648648648987,0.9355325505454033,16.1633856849038,-0.49893837002378394
9.761388286334068,1.9073712647164882,16.799292661361562,-0.18037135278514427,10.543297311830997,1.0088270796267764,14.486486486486513,1.0341582713819228,20.71592112338743,-0.38798556404982687
12.147505422993447,1.9067416823585361,15.446421673405268,-0.5411140583554328,12.387659250699357,-0.023043082784624858,11.459459459459481,0.45925658306120987,15.032458712849802,-0.9600128615224293
8.893709327548777,1.6543020507214479,9.766538189705273,-0.9761273209549088,17.283456233588595,-0.9817108402029717,21.83783783783781,0.5177516848467985,16.943947046007622,-1.2787457798129545
